0,1,1,1
0.001,1.0001,1.013,0.99867
0.002,1.0002,1.026,0.99737
0.003,1.0005,1.039,0.99607
0.004,1.0009,1.0519,0.9948
0.005,1.0014,1.0649,0.99354
0.006,1.0021,1.0778,0.99229
0.007,1.0028,1.0908,0.99107
0.008,1.0036,1.1038,0.98986
0.009,1.0046,1.1167,0.98866
0.01,1.0057,1.1297,0.98749
0.011,1.0068,1.1426,0.98633
0.012,1.0081,1.1556,0.98518
0.013,1.0095,1.1686,0.98406
0.014,1.011,1.1816,0.98295
0.015,1.0126,1.1946,0.98186
0.016,1.0143,1.2076,0.98079
0.017,1.016,1.2206,0.97973
0.018,1.0179,1.2336,0.9787
0.019,1.0199,1.2467,0.97768
0.02,1.022,1.2597,0.97668
0.021,1.0242,1.2728,0.97569
0.022,1.0265,1.2859,0.97473
0.023,1.0289,1.299,0.97379
0.024,1.0314,1.3122,0.97286
0.025,1.0339,1.3254,0.97195
0.026,1.0366,1.3385,0.97106
0.027,1.0394,1.3518,0.9702
0.028,1.0422,1.365,0.96935
0.029,1.0452,1.3783,0.96852
0.03,1.0482,1.3916,0.96771
0.031,1.0514,1.4049,0.96692
0.032,1.0546,1.4183,0.96615
0.033,1.0579,1.4317,0.9654
0.034,1.0613,1.4451,0.96467
0.035,1.0648,1.4586,0.96397
0.036,1.0684,1.4721,0.96328
0.037,1.0721,1.4856,0.96262
0.038,1.0758,1.4992,0.96198
0.039,1.0797,1.5128,0.96135
0.04,1.0836,1.5265,0.96076
0.041,1.0877,1.5402,0.96018
0.042,1.0918,1.554,0.95963
0.043,1.096,1.5678,0.95909
0.044,1.1003,1.5816,0.95859
0.045,1.1046,1.5955,0.9581
0.046,1.1091,1.6094,0.95764
0.047,1.1137,1.6234,0.9572
0.048,1.1183,1.6375,0.95679
0.049,1.123,1.6516,0.9564
0.05,1.1278,1.6657,0.95604
0.051,1.1327,1.6799,0.9557
0.052,1.1376,1.6942,0.95538
0.053,1.1427,1.7085,0.95509
0.054,1.1478,1.7228,0.95483
0.055,1.153,1.7373,0.95459
0.056,1.1583,1.7518,0.95438
0.057,1.1637,1.7663,0.9542
0.058,1.1692,1.7809,0.95404
0.059,1.1747,1.7956,0.95391
0.06,1.1804,1.8103,0.95381
0.061,1.1861,1.8251,0.95373
0.062,1.1919,1.84,0.95368
0.063,1.1977,1.8549,0.95367
0.064,1.2037,1.8699,0.95368
0.065,1.2097,1.885,0.95372
0.066,1.2159,1.9001,0.95379
0.067,1.2221,1.9154,0.95389
0.068,1.2283,1.9306,0.95402
0.069,1.2347,1.946,0.95418
0.07,1.2411,1.9614,0.95437
0.071,1.2477,1.977,0.95459
0.072,1.2543,1.9925,0.95485
0.073,1.261,2.0082,0.95514
0.074,1.2677,2.0239,0.95546
0.075,1.2746,2.0398,0.95581
0.076,1.2815,2.0557,0.9562
0.077,1.2885,2.0716,0.95662
0.078,1.2956,2.0877,0.95707
0.079,1.3028,2.1039,0.95756
0.08,1.31,2.1201,0.95808
0.081,1.3173,2.1364,0.95864
0.082,1.3247,2.1528,0.95924
0.083,1.3322,2.1693,0.95987
0.084,1.3398,2.1859,0.96054
0.085,1.3475,2.2026,0.96125
0.086,1.3552,2.2193,0.96199
0.087,1.363,2.2362,0.96277
0.088,1.3709,2.2531,0.96359
0.089,1.3789,2.2701,0.96445
0.09,1.387,2.2873,0.96535
0.091,1.3951,2.3045,0.96629
0.092,1.4033,2.3218,0.96727
0.093,1.4116,2.3392,0.9683
0.094,1.42,2.3568,0.96936
0.095,1.4285,2.3744,0.97047
0.096,1.4371,2.3921,0.97161
0.097,1.4457,2.4099,0.97281
0.098,1.4544,2.4278,0.97404
0.099,1.4632,2.4459,0.97532
0.1,1.4721,2.464,0.97665
0.101,1.4811,2.4822,0.97802
0.102,1.4901,2.5006,0.97944
0.103,1.4993,2.519,0.9809
0.104,1.5085,2.5376,0.98241
0.105,1.5178,2.5562,0.98397
0.106,1.5272,2.575,0.98558
0.107,1.5366,2.5939,0.98724
0.108,1.5462,2.6129,0.98895
0.109,1.5558,2.632,0.9907
0.11,1.5656,2.6512,0.99251
0.111,1.5754,2.6705,0.99437
0.112,1.5853,2.69,0.99629
0.113,1.5953,2.7095,0.99825
0.114,1.6053,2.7292,1.0003
0.115,1.6155,2.749,1.0023
0.116,1.6257,2.769,1.0045
0.117,1.6361,2.789,1.0067
0.118,1.6465,2.8092,1.0089
0.119,1.657,2.8295,1.0112
0.12,1.6676,2.8499,1.0136
0.121,1.6783,2.8704,1.016
0.122,1.6891,2.8911,1.0185
0.123,1.6999,2.9119,1.021
0.124,1.7109,2.9328,1.0236
0.125,1.7219,2.9538,1.0263
0.126,1.733,2.975,1.029
0.127,1.7443,2.9963,1.0318
0.128,1.7556,3.0177,1.0346
0.129,1.767,3.0393,1.0375
0.13,1.7785,3.061,1.0405
0.131,1.7901,3.0828,1.0436
0.132,1.8018,3.1048,1.0467
0.133,1.8135,3.1269,1.0499
0.134,1.8254,3.1491,1.0531
0.135,1.8374,3.1715,1.0565
0.136,1.8494,3.194,1.0598
0.137,1.8616,3.2167,1.0633
0.138,1.8738,3.2395,1.0669
0.139,1.8861,3.2624,1.0705
0.14,1.8986,3.2855,1.0742
0.141,1.9111,3.3087,1.0779
0.142,1.9237,3.3321,1.0818
0.143,1.9365,3.3556,1.0857
0.144,1.9493,3.3793,1.0897
0.145,1.9622,3.4031,1.0938
0.146,1.9752,3.4271,1.098
0.147,1.9883,3.4512,1.1022
0.148,2.0015,3.4754,1.1066
0.149,2.0149,3.4998,1.111
0.15,2.0283,3.5244,1.1155
0.151,2.0418,3.5491,1.1201
0.152,2.0554,3.574,1.1247
0.153,2.0691,3.599,1.1295
0.154,2.0829,3.6242,1.1344
0.155,2.0969,3.6495,1.1393
0.156,2.1109,3.675,1.1444
0.157,2.125,3.7007,1.1495
0.158,2.1393,3.7265,1.1547
0.159,2.1536,3.7524,1.16
