0,1
0.001,1.0001
0.002,1.0004
0.003,1.001
0.004,1.0018
0.005,1.0028
0.006,1.004
0.007,1.0054
0.008,1.007
0.009,1.0088
0.01,1.0109
0.011,1.0131
0.012,1.0156
0.013,1.0183
0.014,1.0211
0.015,1.0242
0.016,1.0275
0.017,1.0309
0.018,1.0346
0.019,1.0385
0.02,1.0425
0.021,1.0468
0.022,1.0513
0.023,1.0559
0.024,1.0608
0.025,1.0658
0.026,1.071
0.027,1.0764
0.028,1.0821
0.029,1.0879
0.03,1.0939
0.031,1.1
0.032,1.1064
0.033,1.113
0.034,1.1197
0.035,1.1267
0.036,1.1338
0.037,1.1411
0.038,1.1486
0.039,1.1563
0.04,1.1642
0.041,1.1723
0.042,1.1806
0.043,1.189
0.044,1.1977
0.045,1.2065
0.046,1.2155
0.047,1.2247
0.048,1.2341
0.049,1.2437
0.05,1.2535
0.051,1.2635
0.052,1.2737
0.053,1.284
0.054,1.2946
0.055,1.3054
0.056,1.3163
0.057,1.3274
0.058,1.3388
0.059,1.3503
0.06,1.362
0.061,1.374
0.062,1.3861
0.063,1.3984
0.064,1.411
0.065,1.4237
0.066,1.4366
0.067,1.4498
0.068,1.4631
0.069,1.4766
0.07,1.4904
0.071,1.5044
0.072,1.5185
0.073,1.5329
0.074,1.5475
0.075,1.5623
0.076,1.5774
0.077,1.5926
0.078,1.6081
0.079,1.6237
0.08,1.6396
0.081,1.6558
0.082,1.6721
0.083,1.6887
0.084,1.7055
0.085,1.7225
0.086,1.7398
0.087,1.7572
0.088,1.775
0.089,1.7929
0.09,1.8111
0.091,1.8295
0.092,1.8482
0.093,1.8671
0.094,1.8863
0.095,1.9057
0.096,1.9253
0.097,1.9453
0.098,1.9654
0.099,1.9858
0.1,2.0065
0.101,2.0274
0.102,2.0486
0.103,2.0701
0.104,2.0918
0.105,2.1138
0.106,2.136
0.107,2.1586
0.108,2.1814
0.109,2.2044
0.11,2.2278
0.111,2.2514
0.112,2.2754
0.113,2.2996
0.114,2.3241
0.115,2.3489
0.116,2.374
0.117,2.3994
0.118,2.4251
0.119,2.4511
0.12,2.4774
0.121,2.504
0.122,2.5309
0.123,2.5582
0.124,2.5857
0.125,2.6136
0.126,2.6418
0.127,2.6703
0.128,2.6992
0.129,2.7284
0.13,2.7579
0.131,2.7878
0.132,2.818
0.133,2.8485
0.134,2.8794
0.135,2.9107
0.136,2.9423
0.137,2.9742
0.138,3.0066
0.139,3.0392
0.14,3.0723
0.141,3.1057
0.142,3.1395
0.143,3.1737
0.144,3.2083
0.145,3.2433
0.146,3.2786
0.147,3.3143
0.148,3.3505
0.149,3.387
0.15,3.4239
0.151,3.4613
0.152,3.499
0.153,3.5372
0.154,3.5758
0.155,3.6148
0.156,3.6542
0.157,3.6941
0.158,3.7344
0.159,3.7751
0.16,3.8163
0.161,3.858
0.162,3.9
0.163,3.9426
0.164,3.9856
0.165,4.029
0.166,4.0729
0.167,4.1173
0.168,4.1622
0.169,4.2075
0.17,4.2533
0.171,4.2996
0.172,4.3464
0.173,4.3937
0.174,4.4415
0.175,4.4898
0.176,4.5386
0.177,4.5879
0.178,4.6377
0.179,4.6881
0.18,4.7389
0.181,4.7903
0.182,4.8422
0.183,4.8947
0.184,4.9477
0.185,5.0012
0.186,5.0553
0.187,5.1099
0.188,5.1651
0.189,5.2209
0.19,5.2772
0.191,5.3341
0.192,5.3915
0.193,5.4496
0.194,5.5082
0.195,5.5673
0.196,5.6271
0.197,5.6875
0.198,5.7484
0.199,5.81
0.2,5.8722
0.201,5.9349
0.202,5.9983
0.203,6.0623
0.204,6.1269
0.205,6.1921
0.206,6.2579
0.207,6.3244
0.208,6.3915
0.209,6.4592
0.21,6.5276
0.211,6.5965
0.212,6.6662
0.213,6.7364
0.214,6.8074
0.215,6.8789
0.216,6.9511
0.217,7.024
0.218,7.0975
0.219,7.1717
0.22,7.2465
0.221,7.322
0.222,7.3981
0.223,7.4749
0.224,7.5524
0.225,7.6305
0.226,7.7093
0.227,7.7888
0.228,7.8689
0.229,7.9497
0.23,8.0312
0.231,8.1133
0.232,8.1961
0.233,8.2795
0.234,8.3636
0.235,8.4484
0.236,8.5338
0.237,8.6199
0.238,8.7066
0.239,8.794
0.24,8.8821
0.241,8.9708
0.242,9.0601
0.243,9.1501
0.244,9.2407
0.245,9.3319
0.246,9.4238
0.247,9.5163
0.248,9.6094
0.249,9.7032
0.25,9.7975
0.251,9.8925
0.252,9.988
0.253,10.084
0.254,10.181
0.255,10.278
0.256,10.376
0.257,10.474
0.258,10.573
0.259,10.673
0.26,10.773
0.261,10.873
0.262,10.974
0.263,11.076
0.264,11.178
0.265,11.28
0.266,11.383
0.267,11.486
0.268,11.59
0.269,11.694
0.27,11.799
0.271,11.904
0.272,12.009
0.273,12.115
0.274,12.22
0.275,12.327
0.276,12.433
0.277,12.54
0.278,12.647
0.279,12.754
0.28,12.861
0.281,12.969
0.282,13.077
0.283,13.185
0.284,13.292
0.285,13.4
0.286,13.508
0.287,13.616
0.288,13.724
0.289,13.832
0.29,13.94
0.291,14.048
0.292,14.156
0.293,14.263
0.294,14.371
0.295,14.478
0.296,14.584
0.297,14.691
0.298,14.797
0.299,14.903
0.3,15.008
0.301,15.113
0.302,15.217
0.303,15.321
0.304,15.425
0.305,15.527
0.306,15.629
0.307,15.731
0.308,15.831
0.309,15.931
0.31,16.03
0.311,16.128
0.312,16.226
0.313,16.322
0.314,16.417
0.315,16.511
0.316,16.605
0.317,16.697
0.318,16.787
0.319,16.877
